valor_adj_,valor_adj_ift,valor_thr,valor_similarity
35.000000,2.000000,1,0.456583
35.000000,2.000000,1,0.446567
35.000000,2.000000,1,0.847910
35.000000,2.000000,1,0.802607
35.000000,2.000000,1,0.803565
35.000000,2.000000,1,0.765704
35.000000,2.000000,1,0.815782
35.000000,2.000000,1,0.764543
35.000000,2.000000,1,0.766062
35.000000,2.000000,1,0.760254
35.000000,2.000000,2,0.507037
35.000000,2.000000,2,0.469264
35.000000,2.000000,2,0.901674
35.000000,2.000000,2,0.930773
35.000000,2.000000,2,0.844414
35.000000,2.000000,2,0.856410
35.000000,2.000000,2,0.874173
35.000000,2.000000,2,0.866436
35.000000,2.000000,2,0.808503
35.000000,2.000000,2,0.862227
35.000000,2.000000,4,0.759065
35.000000,2.000000,4,0.552947
35.000000,2.000000,4,0.935948
35.000000,2.000000,4,0.859777
35.000000,2.000000,4,0.843770
35.000000,2.000000,4,0.890744
35.000000,2.000000,4,0.922248
35.000000,2.000000,4,0.924948
35.000000,2.000000,4,0.818428
35.000000,2.000000,4,0.850100
35.000000,2.000000,6,0.945756
35.000000,2.000000,6,0.852178
35.000000,2.000000,6,0.720130
35.000000,2.000000,6,0.792972
35.000000,2.000000,6,0.818464
35.000000,2.000000,6,0.876427
35.000000,2.000000,6,0.710692
35.000000,2.000000,6,0.912689
35.000000,2.000000,6,0.841417
35.000000,2.000000,6,0.850775
35.000000,2.000000,8,0.958223
35.000000,2.000000,8,0.892404
35.000000,2.000000,8,0.702508
35.000000,2.000000,8,0.781560
35.000000,2.000000,8,0.790040
35.000000,2.000000,8,0.821245
35.000000,2.000000,8,0.634515
35.000000,2.000000,8,0.803718
35.000000,2.000000,8,0.840703
35.000000,2.000000,8,0.837680
35.000000,2.000000,10,0.963588
35.000000,2.000000,10,0.878059
35.000000,2.000000,10,0.689523
35.000000,2.000000,10,0.771686
35.000000,2.000000,10,0.701407
35.000000,2.000000,10,0.754784
35.000000,2.000000,10,0.548850
35.000000,2.000000,10,0.742438
35.000000,2.000000,10,0.841490
35.000000,2.000000,10,0.799369
35.000000,3.000000,1,0.569142
35.000000,3.000000,1,0.519881
35.000000,3.000000,1,0.900453
35.000000,3.000000,1,0.929082
35.000000,3.000000,1,0.865957
35.000000,3.000000,1,0.857475
35.000000,3.000000,1,0.902632
35.000000,3.000000,1,0.882160
35.000000,3.000000,1,0.796825
35.000000,3.000000,1,0.859443
35.000000,3.000000,2,0.742864
35.000000,3.000000,2,0.641802
35.000000,3.000000,2,0.910339
35.000000,3.000000,2,0.903362
35.000000,3.000000,2,0.859301
35.000000,3.000000,2,0.899758
35.000000,3.000000,2,0.918576
35.000000,3.000000,2,0.914610
35.000000,3.000000,2,0.821650
35.000000,3.000000,2,0.827986
35.000000,3.000000,4,0.883188
35.000000,3.000000,4,0.930924
35.000000,3.000000,4,0.843729
35.000000,3.000000,4,0.797464
35.000000,3.000000,4,0.773555
35.000000,3.000000,4,0.841049
35.000000,3.000000,4,0.704559
35.000000,3.000000,4,0.918447
35.000000,3.000000,4,0.851325
35.000000,3.000000,4,0.845413
35.000000,3.000000,6,0.959044
35.000000,3.000000,6,0.927411
35.000000,3.000000,6,0.711567
35.000000,3.000000,6,0.775485
35.000000,3.000000,6,0.721811
35.000000,3.000000,6,0.720402
35.000000,3.000000,6,0.663378
35.000000,3.000000,6,0.872249
35.000000,3.000000,6,0.831071
35.000000,3.000000,6,0.834621
35.000000,3.000000,8,0.967395
35.000000,3.000000,8,0.901589
35.000000,3.000000,8,0.687376
35.000000,3.000000,8,0.750291
35.000000,3.000000,8,0.655323
35.000000,3.000000,8,0.614154
35.000000,3.000000,8,0.588422
35.000000,3.000000,8,0.757957
35.000000,3.000000,8,0.825866
35.000000,3.000000,8,0.796542
35.000000,3.000000,10,0.967851
35.000000,3.000000,10,0.883530
35.000000,3.000000,10,0.670018
35.000000,3.000000,10,0.738523
35.000000,3.000000,10,0.625407
35.000000,3.000000,10,0.600140
35.000000,3.000000,10,0.464460
35.000000,3.000000,10,0.722938
35.000000,3.000000,10,0.823138
35.000000,3.000000,10,0.785346
